"t","P1","P2","P3","Te","G","Ws"
2010-05-03,2030.55555580391,1401.38889564615,NA,7.975578125,218.78502708044,2.3458890625
2010-05-05,2119.44443711804,1326.04167346532,2458.3332836628,6.75583125,193.259824548611,2.71304270833333
2010-05-07,2020.83332339923,1246.52778359854,1853.1249910593,6.6397515625,224.217187913773,2.52616493055555
2010-05-09,2584.0277671814,1997.56944924593,2337.847224178,5.79981614583333,75.1601018460648,2.09117569444444
2010-05-11,2238.54165694987,1455.2083277247,2135.76388294395,6.65788756313131,151.930579232428,1.3809226010101
2010-05-13,2136.45832240582,1508.68056054848,1525.34722236709,6.47771493055556,157.979363292824,1.95991232638889
2010-05-15,2264.58332956665,1306.59722619587,1369.79166770147,7.94498888888889,161.989986171875,2.69124635416667
2010-05-17,2104.51388110717,1475.00000205926,1631.20567587251,7.61066545138889,135.40801286169,4.33914548611111
2010-05-19,1905.55555042293,1202.77777862632,1363.19444695902,10.2056630208333,266.00108495081,2.96382378472222
2010-05-21,894.097225559462,727.083336691268,619.791670547177,13.5701230902778,304.131765908565,3.60751753472222
2010-05-23,771.527778822928,460.763892469307,392.013893074666,14.7555980902778,291.349184227431,1.71176180555556
2010-05-25,802.777780840794,652.777783391583,759.375007176358,11.1445760416667,220.751956339699,2.93072690972222
2010-05-27,1360.41666567326,1036.11111977241,912.500003818423,8.74471284722222,231.959769635417,2.58296232638889
2010-05-29,1219.09722209805,686.458339293798,1059.02777850214,10.4361833333333,266.640504690393,1.87917361111111
2010-05-31,1171.87499296334,905.20834017338,1246.87500122107,11.9404074652778,198.330891579861,3.00846475694444
2010-06-02,1299.65277678437,886.458334487138,734.722225409415,13.2892887152778,286.679583142361,2.17588854166667
2010-06-04,735.069444170222,537.500005551717,443.402784281514,14.8484537202381,320.555139064567,2.77905297619048
2010-06-06,306.597226920227,553.47222658909,304.861116533478,14.3347420138889,345.331496273148,1.84567586805556
2010-06-08,448.958341342707,532.291668932885,303.81945021347,14.5985425347222,211.059960659722,1.67600052083333
2010-06-10,439.93056167124,390.625001655684,351.388894306082,16.2343680555556,232.279776791088,1.42875590277778
2010-06-12,539.583338786744,567.361114572527,386.805560905486,14.2399453125,73.2642377662036,1.8258921875
2010-06-14,754.861117832156,546.875007916242,563.541672709915,11.9364836805556,208.258041762153,3.45340659722222
2010-06-16,624.305563978851,797.916673434278,635.069455951452,12.1669956597222,228.799581712963,1.53276440972222
2010-06-18,438.725496441418,480.20833862635,539.682548552279,13.2706621527778,332.908464221644,1.42196770833333
2010-06-20,615.972227494542,547.916671209451,NA,11.1814532986111,195.155921753472,3.11054375
2010-06-22,527.777783650284,714.236117951158,323.423429753061,13.2897071180556,296.730516597222,2.45625260416667
2010-06-24,456.250004315128,403.819447253934,310.416671654416,15.1172170138889,317.269478859954,2.53114322916667
2010-06-26,339.583338083078,283.333333157417,183.33333503041,17.0943546875,318.471820002894,1.95329461805556
2010-06-28,369.791666097525,218.055557640683,165.277780602789,15.2169164930556,293.989389618056,1.58885659722222
2010-06-30,337.847222444704,217.013892303738,210.763892288216,20.2493921875,334.548351762153,1.71402048611111
2010-07-02,179.861114127561,187.500001578074,201.388890725664,17.0356053819444,330.819835899884,2.16923420138889
2010-07-04,251.041671985553,181.944444827321,181.597223815819,24.0376222222222,324.37028385706,2.26710399305556
2010-07-06,186.419755174422,78.8888896505037,105.172415360294,18.7110613715278,220.1014090625,2.44018220486111
2010-07-08,NA,NA,NA,16.7944033333333,267.685193020089,3.1361759375
2010-07-10,NA,NA,NA,22.1108355429293,283.289528080545,1.76116485164141
2010-07-12,NA,NA,NA,24.3395055555556,266.939723402778,1.41960277777778
2010-07-14,182.692310319115,28.8461539416741,NA,20.9457876736111,230.194670176505,2.1829140625
2010-07-16,135.069446508876,119.444443249247,100.000001490116,21.9703855902778,261.961663559028,3.26617743055556
2010-07-18,203.819445515465,39.5833340266512,119.444446379526,20.1969258680556,269.958929369213,1.88837916666667
2010-07-20,250.000002819838,21.8749998085615,188.541667820472,18.9818605902778,271.813498229167,1.71793246527778
2010-07-22,230.902777260377,96.5277784917919,154.166667437595,22.8247401041667,306.855144458912,2.63282934027778
2010-07-24,162.152780478613,97.9166685655299,153.472223215633,18.3566661458333,202.537566018519,1.745225
2010-07-26,212.847225652593,55.5555569266693,169.791667256504,16.4429197916667,258.217288356482,3.49185
2010-07-28,284.722227473846,0,179.861112446007,18.0393288194444,266.956925118634,1.30760972222222
2010-07-30,243.055559280846,0,142.013890151348,16.4132918402778,155.985172497106,2.54318802083333
2010-08-01,345.833338693612,35.4166671944161,248.958334766535,16.6860439236111,138.076786681134,2.99991319444444
2010-08-03,419.097229165749,91.3194422610103,110.763890539399,17.7552704861111,151.866879890046,1.35200399305556
2010-08-05,373.611117790763,40.277778222743,113.194446131173,16.7613230902778,188.249337219329,1.60538402777778
2010-08-07,312.152781678984,26.0416664855762,119.444446224305,17.3406734375,207.53900401331,1.24069982638889
2010-08-09,259.722225368023,77.777777513903,125.347224090041,18.4681237847222,191.155718090278,0.990249479166666
2010-08-11,304.861116455868,56.2499988979351,103.819445991475,17.6697102746212,240.209859537037,2.01769064078283
2010-08-13,354.166671323279,77.4305558297784,125.347224090041,16.0187816603535,118.817024094329,1.36725153093434
2010-08-15,307.638894119817,200.347224767837,138.541668860449,17.682045505276,185.376095654067,1.63954353918651
2010-08-17,281.59722745315,170.833335439157,167.361112984104,18.5704954861111,118.935198587963,1.70593211805556
2010-08-19,353.472227799809,247.916668394787,176.041668022258,15.6800346748737,72.0871252980324,1.8076547979798
